iter	Passed	Remaining
663	1371	694
664	1373	692
665	1376	690
666	1378	688
667	1380	686
668	1382	683
669	1384	681
670	1386	679
671	1388	677
672	1390	675
673	1391	673
674	1393	671
675	1395	669
676	1398	667
677	1400	665
678	1402	662
679	1404	660
680	1406	658
681	1408	656
682	1410	654
683	1412	652
684	1414	650
685	1416	648
686	1419	646
687	1420	644
688	1423	642
689	1425	640
690	1427	638
691	1429	636
692	1430	633
693	1432	631
694	1434	629
695	1437	627
696	1439	625
697	1441	623
698	1442	621
699	1444	619
700	1446	617
701	1448	614
702	1450	612
703	1452	610
704	1454	608
705	1456	606
706	1458	604
707	1460	602
708	1462	600
709	1464	598
710	1466	596
711	1468	593
712	1469	591
713	1471	589
714	1473	587
715	1475	585
716	1477	583
717	1479	581
718	1481	579
719	1484	577
720	1486	575
721	1488	573
722	1490	571
723	1492	569
724	1494	566
725	1496	564
726	1498	562
727	1501	560
728	1503	558
729	1505	556
730	1507	554
731	1509	552
732	1511	550
733	1513	548
734	1515	546
735	1517	544
736	1519	542
737	1521	540
738	1523	538
739	1525	536
740	1527	533
741	1529	531
742	1531	529
743	1533	527
744	1535	525
745	1538	523
746	1540	521
747	1542	519
748	1544	517
749	1546	515
750	1548	513
751	1550	511
752	1552	509
753	1554	507
754	1556	505
755	1558	503
756	1560	500
757	1562	498
758	1564	496
759	1567	494
760	1569	492
761	1571	490
762	1573	488
763	1575	486
764	1577	484
765	1579	482
766	1581	480
767	1583	478
768	1585	476
769	1587	474
770	1589	472
771	1591	470
772	1593	467
773	1595	465
774	1597	463
775	1599	461
776	1601	459
777	1603	457
778	1605	455
779	1607	453
780	1609	451
781	1611	449
782	1614	447
783	1616	445
784	1618	443
785	1620	441
786	1622	439
787	1624	437
788	1626	435
789	1629	433
790	1631	430
791	1633	428
792	1635	426
793	1637	424
794	1639	422
795	1641	420
796	1643	418
797	1645	416
798	1647	414
799	1649	412
800	1652	410
801	1654	408
802	1656	406
803	1658	404
804	1660	402
805	1662	400
806	1664	398
807	1666	396
808	1668	393
809	1670	391
810	1673	389
811	1675	387
812	1677	385
813	1679	383
814	1681	381
815	1683	379
816	1686	377
817	1688	375
818	1690	373
819	1692	371
820	1694	369
821	1696	367
822	1698	365
823	1700	363
824	1702	361
825	1704	359
826	1706	356
827	1708	354
828	1710	352
829	1712	350
830	1714	348
831	1716	346
832	1718	344
833	1720	342
834	1722	340
835	1724	338
836	1726	336
837	1729	334
838	1731	332
839	1733	330
840	1735	328
841	1737	326
842	1739	324
843	1741	321
844	1744	319
845	1746	317
846	1748	315
847	1750	313
848	1752	311
849	1754	309
850	1756	307
851	1758	305
852	1760	303
853	1762	301
854	1765	299
855	1767	297
856	1769	295
857	1771	293
858	1773	291
859	1775	289
860	1777	287
861	1780	284
862	1782	283
863	1784	280
864	1786	278
865	1789	276
866	1791	274
867	1793	272
868	1795	270
869	1797	268
870	1799	266
871	1801	264
872	1804	262
873	1806	260
874	1808	258
875	1810	256
876	1812	254
877	1814	252
878	1816	250
879	1818	248
880	1821	245
881	1823	243
882	1825	241
883	1827	239
884	1829	237
885	1831	235
886	1833	233
887	1835	231
888	1837	229
889	1839	227
890	1841	225
891	1843	223
892	1845	221
893	1847	219
894	1849	217
895	1851	214
896	1853	212
897	1855	210
898	1857	208
899	1860	206
900	1862	204
901	1864	202
902	1866	200
903	1868	198
904	1871	196
905	1873	194
906	1875	192
907	1878	190
908	1881	188
909	1883	186
910	1885	184
911	1887	182
912	1889	180
913	1892	178
914	1894	175
915	1896	173
916	1898	171
917	1900	169
918	1902	167
919	1904	165
920	1907	163
921	1909	161
922	1911	159
923	1913	157
924	1915	155
925	1917	153
926	1919	151
927	1922	149
928	1924	147
929	1926	144
930	1928	142
931	1930	140
932	1932	138
933	1934	136
934	1937	134
935	1939	132
936	1941	130
937	1943	128
938	1945	126
939	1947	124
940	1949	122
941	1952	120
942	1954	118
943	1956	116
944	1958	113
945	1960	111
946	1962	109
947	1964	107
948	1966	105
949	1968	103
950	1971	101
951	1973	99
952	1975	97
953	1977	95
954	1979	93
955	1981	91
956	1983	89
957	1985	87
958	1988	84
959	1990	82
960	1992	80
961	1994	78
962	1996	76
963	1998	74
964	2000	72
965	2002	70
966	2005	68
967	2007	66
968	2009	64
969	2011	62
970	2014	60
971	2016	58
972	2018	56
973	2020	53
974	2022	51
975	2025	49
976	2027	47
977	2029	45
978	2032	43
979	2033	41
980	2035	39
981	2038	37
982	2040	35
983	2042	33
984	2044	31
985	2046	29
986	2049	26
987	2051	24
988	2053	22
989	2055	20
990	2056	18
991	2058	16
992	2060	14
993	2062	12
994	2065	10
995	2067	8
996	2068	6
997	2070	4
998	2072	2
999	2074	0
